investor_id,state,city,city_tier,age_group,gender,total_transactions,total_invested_inr,avg_transaction_inr,first_transaction,last_transaction,preferred_mode,kyc_status,annual_income_lakh
INV000001,Haryana,Gurugram,T30,36-45,Male,3,237429,79143.0,2024-11-04,2025-01-19,UPI,Verified,19.9
INV000002,Maharashtra,Pune,T30,46-55,Male,6,681325,113554.16666666667,2024-03-29,2025-05-17,Mandate,Verified,24.0
INV000003,Gujarat,Ahmedabad,T30,26-35,Female,2,17861,8930.5,2024-07-16,2025-03-11,Mandate,Verified,10.6
INV000004,Punjab,Chandigarh,T30,26-35,Male,9,476881,52986.77777777778,2024-03-16,2025-05-17,Net Banking,Verified,20.0
INV000005,Punjab,Amritsar,B30,26-35,Female,8,1398173,174771.625,2024-04-27,2025-04-26,Mandate,Verified,10.4
INV000006,Madhya Pradesh,Bhopal,B30,46-55,Female,6,374177,62362.833333333336,2024-01-02,2025-05-11,Cheque,Verified,43.0
INV000007,Uttar Pradesh,Kanpur,B30,26-35,Male,5,82420,16484.0,2024-01-03,2025-02-24,UPI,Verified,21.9
INV000008,Punjab,Amritsar,B30,26-35,Female,8,948979,118622.375,2024-05-27,2025-05-14,UPI,Verified,18.6
INV000009,Haryana,Gurugram,T30,26-35,Male,7,581851,83121.57142857143,2024-01-10,2025-05-09,Cheque,Verified,17.1
INV000010,Maharashtra,Pune,T30,36-45,Male,11,1321472,120133.81818181818,2024-04-11,2025-03-05,Net Banking,Verified,13.6
INV000011,West Bengal,Kolkata,T30,26-35,Male,11,1099634,99966.72727272728,2024-01-03,2025-03-30,UPI,Verified,9.6
INV000012,Uttar Pradesh,Kanpur,B30,46-55,Male,11,954446,86767.81818181818,2024-03-12,2025-04-30,UPI,Verified,51.6
INV000013,Maharashtra,Nashik,B30,18-25,Male,10,865449,86544.9,2024-04-18,2025-03-16,Net Banking,Verified,5.2
INV000014,Tamil Nadu,Chennai,T30,18-25,Male,11,1060830,96439.09090909091,2024-02-12,2025-05-28,Mandate,Verified,4.3
INV000015,Gujarat,Surat,T30,36-45,Male,2,265612,132806.0,2025-01-05,2025-05-12,Net Banking,Verified,27.8
INV000016,Tamil Nadu,Chennai,T30,26-35,Female,3,655227,218409.0,2024-06-18,2024-12-10,Cheque,Verified,21.0
INV000017,Gujarat,Surat,T30,46-55,Female,4,805968,201492.0,2024-02-23,2025-03-23,Cheque,Verified,31.5
INV000018,Telangana,Hyderabad,T30,56+,Male,4,420620,105155.0,2024-05-29,2025-04-25,Net Banking,Verified,37.9
INV000019,Gujarat,Ahmedabad,T30,18-25,Female,4,218987,54746.75,2024-01-17,2025-03-02,Net Banking,Verified,5.1
INV000020,Delhi,Noida,T30,36-45,Female,6,1113745,185624.16666666666,2024-06-28,2025-04-13,Cheque,Pending,17.0
INV000021,Uttar Pradesh,Agra,B30,46-55,Male,6,807228,134538.0,2024-03-09,2025-03-21,Mandate,Verified,76.8
INV000022,Telangana,Hyderabad,T30,36-45,Male,6,1054287,175714.5,2024-01-27,2025-05-20,Mandate,Verified,37.4
INV000023,West Bengal,Kolkata,T30,46-55,Female,10,461628,46162.8,2024-03-21,2025-05-05,Net Banking,Verified,61.9
INV000024,Delhi,Gurugram,T30,36-45,Female,8,1254570,156821.25,2024-05-05,2025-03-04,Net Banking,Verified,27.0
INV000025,Haryana,Gurugram,T30,26-35,Male,1,13678,13678.0,2024-05-01,2024-05-01,Net Banking,Pending,11.5
INV000026,West Bengal,Kolkata,T30,36-45,Male,7,826838,118119.71428571429,2024-01-18,2025-03-27,Mandate,Verified,29.5
INV000027,Punjab,Chandigarh,T30,26-35,Male,7,1465451,209350.14285714287,2024-05-29,2025-05-15,Mandate,Verified,20.7
INV000028,Gujarat,Surat,T30,18-25,Female,9,1065631,118403.44444444444,2024-02-07,2025-05-20,Net Banking,Verified,6.1
INV000029,Rajasthan,Udaipur,B30,26-35,Female,11,894277,81297.90909090909,2024-05-16,2025-05-15,UPI,Verified,7.6
INV000030,Delhi,Noida,T30,18-25,Female,12,1315849,109654.08333333333,2024-01-17,2025-03-13,Net Banking,Verified,5.1
INV000031,Madhya Pradesh,Indore,T30,36-45,Male,6,542411,90401.83333333333,2024-02-29,2025-04-29,Cheque,Pending,27.3
INV000032,Delhi,Noida,T30,36-45,Male,8,1231203,153900.375,2024-01-07,2025-04-25,Mandate,Verified,21.8
INV000033,Delhi,New Delhi,T30,36-45,Female,11,1131799,102890.81818181818,2024-02-02,2025-05-09,UPI,Verified,12.4
INV000034,Punjab,Chandigarh,T30,26-35,Male,3,296610,98870.0,2024-10-29,2025-02-10,Cheque,Verified,24.5
INV000035,Gujarat,Ahmedabad,T30,26-35,Male,2,1710,855.0,2024-11-11,2025-04-04,Cheque,Verified,20.9
INV000036,West Bengal,Kolkata,T30,36-45,Male,2,11059,5529.5,2024-05-29,2024-09-05,Net Banking,Verified,49.7
INV000037,Rajasthan,Udaipur,B30,26-35,Male,5,1139629,227925.8,2024-05-19,2025-01-24,Mandate,Verified,7.5
INV000038,West Bengal,Kolkata,T30,56+,Female,7,793676,113382.28571428571,2024-03-28,2025-04-17,Cheque,Verified,22.4
INV000039,Madhya Pradesh,Bhopal,B30,26-35,Male,8,482497,60312.125,2024-04-27,2025-05-02,Cheque,Verified,6.5
INV000040,Karnataka,Mysore,B30,26-35,Male,10,1480910,148091.0,2024-02-12,2025-05-21,UPI,Verified,14.7
INV000041,Karnataka,Mysore,B30,46-55,Male,6,1521738,253623.0,2024-04-05,2025-03-14,Cheque,Verified,25.0
INV000042,Punjab,Amritsar,B30,26-35,Female,5,577025,115405.0,2025-03-14,2025-05-21,Mandate,Pending,15.3
INV000043,Madhya Pradesh,Indore,T30,26-35,Male,3,494094,164698.0,2024-04-03,2025-03-31,UPI,Verified,23.7
INV000044,Karnataka,Mysore,B30,36-45,Male,6,703471,117245.16666666667,2024-01-09,2025-03-29,Mandate,Verified,34.9
INV000045,Uttar Pradesh,Lucknow,T30,36-45,Male,10,1295094,129509.4,2024-03-13,2025-03-01,UPI,Pending,26.2
INV000046,Gujarat,Ahmedabad,T30,26-35,Female,7,834098,119156.85714285714,2024-03-20,2025-05-26,Net Banking,Verified,24.5
INV000047,Haryana,Faridabad,B30,36-45,Male,5,917232,183446.4,2024-01-10,2024-09-08,Net Banking,Verified,23.6
INV000048,Rajasthan,Jaipur,T30,36-45,Female,11,208461,18951.0,2024-03-27,2025-03-30,Mandate,Verified,15.0
INV000049,Maharashtra,Nashik,B30,36-45,Male,3,37744,12581.333333333334,2024-01-20,2025-05-29,Mandate,Verified,23.8
INV000050,Maharashtra,Pune,T30,36-45,Male,3,279000,93000.0,2024-08-12,2025-01-02,Cheque,Verified,13.4
INV000051,Haryana,Gurugram,T30,36-45,Male,6,1256292,209382.0,2024-02-27,2025-01-08,Net Banking,Verified,21.0
INV000052,Tamil Nadu,Coimbatore,B30,26-35,Male,10,1164105,116410.5,2024-03-31,2025-05-19,Cheque,Verified,19.1
INV000053,Maharashtra,Pune,T30,36-45,Male,2,9834,4917.0,2025-04-29,2025-05-06,Net Banking,Verified,52.3
INV000054,Telangana,Hyderabad,T30,46-55,Female,7,488684,69812.0,2024-05-30,2025-05-01,Net Banking,Pending,37.5
INV000055,Karnataka,Bangalore,T30,26-35,Male,12,1966742,163895.16666666666,2024-01-30,2025-03-05,UPI,Verified,13.5
